,职位名称,职位名称关键字,职位薪资,公司名称,地区,工作经验,学历要求,职位描述要求,Python,C,Tensorflow,Java,Linux,Spark,Hadoop
71,人工智能 安防销售/无责底薪3k加提成/大小休,人工智能,9000.0,重庆市通通汉联科技有限公司,重庆,1.0,大专,通过对已有客户资源进行筛选意向客户，深耕。2.进入行业圈子整合资源。3.电话加外出拜访客户4.渠道拓展；签约本区域弱点工程商&集成商&经销商为合作伙伴5.服务好每个合作客户，能适应出差，有野心，有强烈的创业意识6.完成上级领导交办的其他任务7.社区地推智能锁，安防渠道工作经验，熟悉行业知识，电话邀约面谈及上门陌拜客户促成合作。8.购买五险，有话补+餐补+车补+高温补贴，节假日福利，法定节假日正常休息。岗位要求：1、男女不限，市场营销、计算机类、电子类专业优先；2、工作认真、谨慎、细心、责任心强；3、具有较强的沟通、协调能力，优秀的外联、公关能力，具有解决突发事件能力；4、掌握完善的销售技巧，具备优秀的客户沟通能力；5、较强的业务拓展能力，有较好的搜集分析销售线索的能力；6、具备有效维护、管理客户，提升销售业务的能力；7、有安防工作经验者优先，.可接受优秀应届毕业生；8.能力突出者可适当放宽学历要求，,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,博士（大数据或人工智能）,人工智能,20833.33,武汉猎咖管理咨询有限公司,武汉,1.0,博士,，负责“大数据、人工智能”前沿技术和系统架构的预研及可行性评估2，负责向研发团队（智慧警务、智能交通）输出可用的新技术和系统框架，并进行调优和改进3，负责相关行业标准的研究与编写4，其它相关科研工作任务,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,AI人工智能实习生,人工智能,7500.0,北京林枫科技有限公司,贵阳,0.0,大专,任职要求：1、大专及以上学历，理工科专业优先；可接受应届生；2、工作主动积极，较强的团队合作意识，并能承受较大的工作压力；岗位职责：1、协助完成项目上线后的运维工作，并对相关需求进行处理；2、协助完成项目各类文档材料的编写工作；3、领导安排的其他临时性工作。,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,销售经理（人工智能方向+五险一金+双休+午餐）,人工智能,7000.0,广州卓绝智能科技有限公司,广州,3.0,无,岗位职责：负责协作型工业机器人和人工智能方向的销售及客户管理。任职要求：（1） 从事销售岗位有5年以上工作经验；（2） 熟悉工业机器人市场及应用，了解人工智能发展及应用。有在协作型机器人领域涉足者优先；（3） 热爱销售工作，思维敏捷，良好的口才和市场开拓经验；（4） 对新事物和知识具有快速学习能力；（5） 可独立负责工业机器人和人工智能方案的市场销售。机器人或人工智能相关专业的应届生可以应聘销售专员（机器人与人工智能方向）。薪资待遇： 无责任底薪5000-7000+高提成+五险一金+营养午餐+双休,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,银行贷款+人工智能开发,人工智能,12500.0,苏州青天网络科技有限公司,苏州,0.0,无,苏州苏众达商务信息咨询有限公司于2013年成立，本公司主营：中国银行，建设银行，工业银行，招商银行，苏州银行等多家银行房产抵押类产品，另与一些银行签订正式的代理合作协议（平安银行、平安普惠、常熟农商行），我们的工作内容就是帮助银行筛选优质客户，有客户来电咨询银行产品，根据客户条件能快速专业解答客户问题并做好统计工作。   职位要求：1.18-35岁，男女不限，口齿清晰，语音富有感染力，具有出色的沟通、表达能力；2.积极乐观，有耐心、有亲和力；3.有无经验投递简历，公司都将统一培训上岗。4.具备较强的学习能力和优秀的沟通能力；5.有积极团队荣誉感，有强烈的事业心、责任心和积极的工作态度。岗位职责1.人工智能帮助我们筛选出优质客户，有客户来电咨询银行产品，根据客户条件能快速专业解答客户问题并做好统计工作。2.对来电咨询客户做简单的上门预约，上门后交由专业的洽谈部门接待，成单后有高额提成。注意：你只需要做好客户统计加上门预约，压力小，收入高。职位晋升：1、纵向发展路线：初级客服—客服主管—高级经理—总监—高级总监—负责人2、横向发展路线：产品部、培训师、数据分析、行政人事等内勤岗位培训：岗前培训-在岗培训-其他职业性培训培训内容：各大银行产品知识系统培训，专业话术培训，商务礼仪培训等   如果你是这样的，欢迎你的加入，即使什么都不会，也请积极主动加入，公司专业全面的培训会让你短时间成长，圆梦苏州。上班时间9:00--17:45 上五休二 中午休息1个半小时薪资无责任3500加高额提成，综合8000以上无责任底薪3500--5000不等，根据试用期的表现。综合8000以上因公司是上半年第一次大型网络招聘，如果你不想拿死工资，又不想跑业务，不想做纯销售，又想多学一点银行知识，那么请快速投简历，因为这里你不需要外出，不需要接待客户，只需要对咨询客户邀约上门即可，因平台较为宽广，投简历的人较多，有无经验均可，也可电话预约人事部电话：陈经理17751120959 工作地址苏州市工业园区星桂街33号凤凰国际大厦,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,人工智能(AI),人工智能,8000.0,烟台华东电子科技有限公司,烟台,0.0,硕士,I在港航业务领域的研究,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,人工智能专家（智慧城市，工作地青岛）,人工智能,25000.0,海信网络科技公司,青岛,5.0,本科,工作职责：1、人工智能技术规划和产品规划。2、人工智能应用的技术架构。3、主导人工智能方面的产品预研和产品研发。任职资格：熟练使用TensorFlow、CNTK等主流深度学习框架；熟悉深度学习的算法及相关知识，并主导进行深度学习平台的研发；掌握神经网络(CNN、RBN、RCNN、DNN等)，并应用于行业建设中。,0.0,0.0,1.0,0.0,0.0,0.0,0.0
78,AI人工智能工程师,人工智能,12500.0,广州潮流服装有限公司,广州,0.0,无,、收入高：只找优秀的人才：我要一群人一起创造一个做2000万1年业绩的故事，实现人均收入30万/年。2、产品牛：AI-人工智能解决方案，全国有3大AI系统落地，100多人AI研发中心。做电销+会销，产品独特就能独领市场风骚、就能快速跟客户成交，意味着业务容易做。3、晋升空间大：2019年全国要开23家分公司，有很大机会沿着商务经理—商务总监—分公司总经理—集团大区商务总监晋升，集团内部急需各种人才奔赴各个岗位。4、团队氛围好：团队由具有行业11年经验前辈带领打造、励志做集团第一商务团队。团队经费每个月大几千，小到至今零食任意提供，大到海鲜大餐，各种运动活动组织，应有尽有，开开心心工作，勤勤恳恳奋斗。5、成长大：我们是有良好氛围、激情向上团队；集团有完善的培训福利，团队有严格的纪律；我们不是纯被动式电话营销，是电销+会销+团队作战模式开展业务。学习+业务分析学习+总结会+精英PK，是我们日常的家常便饭。,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,AI人工智能实习生,人工智能,7000.0,深圳市多测师信息技术有限公司,深圳,0.0,大专,岗位职责：1.根据需求构建机器学习的框架，提供机器学习的模型并分析训练和测试的数据。2.提供经过验证好的接入接口，以及统计数据信息。 负责相关机器学习算法的改进和优化；3.根据当前的领域，对人工智能相关的预研工作。岗位要求：1.大专及以上学历，理工类专业优先考虑；2.有一定的计算机基础知识；3.有能够志者从事AI人工智能方向；4.接受一定经验的转行者（需要经过公司项目组考核）（欢迎应届毕业生加入）实习岗位，欢迎有无经验，应往届毕业生加入。（此岗位平均月薪过万）,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,总行信息科技部-人工智能（AI）技术经理,人工智能,,中国光大银行总行,北京,0.0,无,若干 岗位职责：  1、负责人工智能相关前沿技术产品的研究和实践； 2、负责语音识别、自然语言理解、计算机视觉等关键算法应用； 3、负责机器学习和深度学习相关模型网络设计及优化； 4、负责AI相关分布式计算框架的搭建及性能优化等； 5、负责AI相关计算数据预处理技术研发与应用。 招聘条件： 1、全日制本科及以上学历、计算机相关专业毕业，年龄33周岁及以下； 2、具备2年（研究生1年）以上人工智能相关建设及维护经验； 3、有自然语言处理/计算机视觉/模式识别与分类相关教育背景和工作经验； 4、熟悉TensorFlow、Keras等框架。 5、熟练掌握Spark ML/MLLib 工具包，熟悉通过机器学习提升传统模型的精度、算法开发与优化过程； 6、熟悉GBDT/XGboost/LSTM/CNN/RNN算法模型并有项目经验者优先； 7、熟悉虚拟化、容器、SDN等主流云计算技术； 8、具备较强的工作责任心和团队合作意识，抗压能力强，具有较强分析问题和解决问题的能力，具备良好的协调沟通能力。,0.0,0.0,1.0,0.0,0.0,1.0,0.0
81,软件研发实习生（人工智能方向）,人工智能,2500.0,沈阳多码斯信息技术有限公司,沈阳,0.0,大专,任职要求：     1.大专及以上学历，应届生提供实习岗     2.针对应届生，可提供签订第三方就业协议     3.了解计算机基本操作，计算机专业优先     4.计算机、物联网、信管等优先考虑、理工类相关专业具体面议     5.具有一定开发语言基础者优先，如：C语言、JAVA     6.具有良好的沟通能力及团队协作意识     7.具有较强的学习能力，积极努力，责任心强     8.具有较强的学习能力，对IT软件行业感兴趣      福利待遇：     1. 正式录用签订劳动合同     2.公司提供七险二金：     养老保险+医疗保险+生育保险+工伤保险+失业保险+补充医疗保险+商业保险+住房公积金 +企业年金（随员工入职年限增长）     3.绩效奖金     4.年终项目收益奖     5.满勤奖     6.带薪年假     7.节日福利（享受国家所有法定假日福利）     8.每年提供员工免费体检一次     9.周末双休，无强制加班     10.底薪：4000-5000（具体面议）     11.全年13至14薪（具体根据部分划分而定）     12.提供交通补助、电话补助、住房补助及餐补     13.市内五区提供班车，提供食堂就餐     14.为有员工提供良好完善的职业晋升空间及平台     15.每年2次团队建设活动旅游,0.0,1.0,0.0,1.0,0.0,0.0,0.0
82,5K人工智能产品检测专员/助理,人工智能,7000.0,深圳市云游软件科技有限公司,深圳,0.0,无,司因项目启动人员需求，可接受一个无经验者助理岗位职责：1、协助软件测试工程师进行开发项目的操作；2、辅助进行系统的需求定义，分析和设计；3、在软件工程师指导下，根据要求完成测试用例和代码编写、测试、重构和维护。4、无工作经验者，会有2个月的试用期，望求职者接受福利待遇：1、享受法定节假日，朝九晚六，周末双休；2、五险一金、团队活动、生日会、下午茶及丰厚福利待遇；3、高速成长的个人发展机会，积极进取的企业文化，与公司共同成长的挑战；4、公司工作环境优雅、氛围好，同事关系融洽，定期举行生日派对、聚餐等丰富活动。工作时间： 5天8小时制，早上9：00到下午6：00，中午休息12小时，周六日双休。,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,人工智能技术助理/双休,人工智能,5250.0,深圳市达众神通科技有限公司,深圳,0.0,中专,岗位要求：1、21-30岁，专业不限，大专及以上学历者优先2、有一定的逻辑思维，会简单电脑操作3、工作认真细心，有良好团队合作精神福利待遇：1、周末双休，每天7小时上班时间，无夜班，不加班，2、大量有奖金项目可做，能力强者可不限量接受奖金项目，3、公司为员工购买五险一金，定期组织员工生日会、野外游玩等活动，4、提供良好的晋升机制，广阔的晋升空间。工作时间：早上9：00到下午6：00，中午休息1.5小时，周六日双休。,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,数据科学家/人工智能专家,人工智能,37500.0,广州市钱大妈农产品有限公司,广州,5.0,博士,任职要求：1、数学、应用数学、统计学、计量经济学、计算机等专业硕士或博士以上教育背景； 2、有数据建模、模型评估、模型优化及模型应用能力 3、有机器学习、数据挖掘、统计分析、推荐等算法相关的实际项目经验，深刻理解常用的概率统计、机器学习算法、深度学习算法； 4、精通SparkMALab、tensorflow的体系架构和运行原理，精通python/shell/java/scala其中一门语言； 5、有5年以上工作经验，至少3年建模及算法经验  6、具备良好的逻辑分析能力，较强的独立思考和解决问题的能力，面对模糊的业务场景，能够理清思路，提出清晰解决方案 7、有零售连锁经营相关行业经验或在大型企业有相关工作经验的优先 岗位职责：1、独立负责算法类相关的需求发掘、技术预研、系统设计，以及推动业务方共同落地，并制定后续运营和优化计划 ； 2、负责持续对正在实施的c模型效果跟进及调优 3、跟踪最新最热的机器学习算法理论进展（如deep learning），并且将优秀的算法应用到业务场景当中，提升业务效果。,1.0,1.0,1.0,1.0,0.0,0.0,0.0
85,高中语文老师（人工智能教育）,人工智能,10000.0,上海乂学教育科技有限公司,上海,1.0,本科,[岗位职责]：1.负责智适应学习平台在线1对1课程的教学任务；2.为学员提供课程相关的学习指导与学术答疑，完成教学质量分析；3.维护学员关系，及时处理学员需求，提升学员学习动力；4.参与学科教学培训和课程教研工作，提高自身教育水平和教学能力；5.收集学员反馈与教学信息，协助研究院优化教学设计及教学产品。[任职要求]： 1.大学本科以上学历，相关教育专业优先；2.有相关学科1对1、在线教育培训经验者优先；3.有团队合作意识，良好的时间管理和沟通协调能力；  4.执行力强，有一定的抗压能力，有较强的学员服务意识。,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,算法工程师(人工智能研究员),人工智能,22500.0,盛趣信息技术（上海）有限公司,上海,0.0,硕士,"岗位职责：1、负责公司人工智能相关技术创新和落地实现；包括但不限于声音识别、图像识别、文本与语义处理、机器学习建模、强化学习等；2、持续跟踪AI的新算法新技术，探索此类前沿技术在制造行业中的应用，为公司人工智能发展提供技术决策支持；3、为公司业务赋能人工智能技术，根据业务需求设计高性能的算法和应用架构。任职要求：1、全日制硕士及以上学历，计算机、软件、自动化、数学或相关专业。扎实的机器学习、深度学习理论和技术基础，有2年以上的相关研究或工程经验；2、熟悉至少一种深度学习开源框架（Caffe, Tensorflow, MXNet等），具有实际开发经验者优先；3、数学基础较好，具有良好的数学思维和逻辑思考能力，具备建模的能力；4、精通C/C++、Java、Python、matlab中至少一种语言，Python优先。",1.0,1.0,1.0,1.0,0.0,0.0,0.0
87,人工智能AI工程师,人工智能,22500.0,上海事成软件股份有限公司,上海,0.0,无,"、负责领域大数据的分析、挖掘，根据公司的业务需求，搭建人工智能相关框架；2、针对公司核心业务（汽车售后技术问答），研发自然语言处理方向的技术体系；3、提升数据应用能力，提出新的算法改善业务瓶颈，并沉淀出新的算法；4、和团队一起建立和完善人工智能研发平台和标准化研究流程。岗位要求：1、计算机、电子信息工程、自动化控制、数学、信息安全等相关专业背景；2、有以下至少一个领域的工作项目经历：大规模机器学习（基于统计数据/图像/文本等各类数据的机器学习和系统实现）／搜索/推荐引擎/广告/深度学习/图像识别／自然语言处理3、熟悉一个或多个常见的 NLP/ML/DL 开源工具库，如Caffe、Tensorflow、Torch,能够利用框架快速实现新的思路；4、熟练的编程经验，精通Python或Java等语言；5、有较强的学习创新和逻辑思维能力，责任心强,对技术有强烈的进取心，具有良好的沟通能力和团队合作精神。",1.0,0.0,1.0,1.0,0.0,0.0,0.0
88,人工智能工程师暑期实习生,人工智能,1750.0,交通银行信用卡中心,上海,0.0,本科,"、负责数据的预处理、特征工程和模型训练等，并对模型效果进行验证和跟踪改进； 2、参与信用卡中心深度学习平台、机器学习平台的建设； 3、参与对卡中心现有模型进行改进、优化和创建新模型； 4、参与卡中心自研机器人的研发 5、参与对人工智能领域前沿技术的研究、论证、落地等。 任职要求： 1、 统招全日制大学本科及以上学历2020届应届毕业生,计算机或相关专业本科及以上学历, 有深度学习项目经验者优先； 2、 熟悉Python语言，有实际开发经验优先； 3、 熟悉TensorFlow、Caffe、Mxnet、Theano等深度学习框架之一；  4、 熟悉神经网络、自然语言处理相关知识和算法，有NLP相关经验者优先； 5、较强的问题分析能力、数据理解能力、学习能力和抗压能力，有团队合作精神；",1.0,0.0,1.0,0.0,0.0,0.0,0.0
89,销售实习生（电商互联网/人工智能）,人工智能,6500.0,广州市趋势信息技术有限公司,广州,0.0,大专,联系人：练小姐      联系方式：020-28871863 【趋势寻找这样的你】年轻有活力，独立有思想，开放大脑洞…想要经济独立，买车买房，走上人生巅峰…希望有一个舞台，能绽放更好的自己，实现个人价值…没错，加入趋势动力，你会看到种种期盼的黎明曙光，感受暖暖的幸福。幸福就是跟喜欢的人一起做喜欢的事！【成为趋势人，你需要】1、负责全程全网电商解决方案、新零售-小程序、物联网产品解决方案（大客户/VIP）、APP研发等项目的业务拓展；2、了解小程序、物联网、智能家居、智能箱包等行业现状，挖掘分析客户需求并提供建议方案；3、把握销售机会，与客户谈判促成合作，达成销售目标；4、维系客户关系，做好定期回访及客户项目跟进管理工作。【成为趋势人，你只要符合】1、大专及以上学历，市场营销/电子商务专业优先；2、善于沟通，有较强的学习能力，勇于学习新事物；3、有成功欲望，进取心/责任心强，能承受工作压力；4、良好的商务谈判能力及具有挑战高薪的心态！【我们能为你提供】1、“越努力，越幸运”的薪酬福利：有竞争力的无责任底薪+有激励性的丰厚提成+部门激励奖金； 2、行业一流的培训体系，快人一步的职业起点：产品及行业知识+销售技巧+管理内外训+实战训练+其他专业类别培训；3、其他福利：完善的五险一金及额外商业保险，依法享受法定节假日（带薪旅游、带薪年假、婚假、产假、等国家法定有薪假期国家法定节假日）；节日福利多多，团队活动丰富。。。公司地址：广州天河区中山大道西89号国家软件园华景园区B栋西梯五楼整层【交通线路指引】：地 铁：岗顶D出口转brt华景新城站公交站：BRT华景新城站(到华景新城BRT出站——右手边是南方通信大厦——往前走即是天河软件园)温馨提示：本岗位为公司直招，投递简历后， 24小时内会有专职HR给予回复，让你了解更多职位信息！,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,大客户销售代表（电商互联网+人工智能）,人工智能,9000.0,多商网（趋势动力旗下）,广州,1.0,大专,联系人：练小姐   联系方式：020-28871863 【趋势寻找这样的你】年轻有活力，独立有思想，开放大脑洞…想要经济独立，买车买房，走上人生巅峰…希望有一个舞台，能绽放更好的自己，实现个人价值…没错，加入趋势动力，你会看到种种期盼的黎明曙光，感受暖暖的幸福。幸福就是跟喜欢的人一起做喜欢的事！【成为趋势人，你需要】1、负责全程全网电商解决方案、新零售-小程序、物联网产品解决方案（大客户/VIP）、APP研发等项目的业务拓展；2、了解小程序、物联网、智能家居、智能箱包等行业现状，挖掘分析客户需求并提供建议方案；3、把握销售机会，与客户谈判促成合作，达成销售目标；4、维系客户关系，做好定期回访及客户项目跟进管理工作。【成为趋势人，你只要符合】1、大专及以上学历，市场营销/电子商务专业优先；2、善于沟通，有较强的学习能力，勇于学习新事物；3、有成功欲望，进取心/责任心强，能承受工作压力；4、良好的商务谈判能力及具有挑战高薪的心态！【我们能为你提供】1、“越努力，越幸运”的薪酬福利：有竞争力的无责任底薪+有激励性的丰厚提成+部门激励奖金； 2、行业一流的培训体系，快人一步的职业起点：产品及行业知识+销售技巧+管理内外训+实战训练+其他专业类别培训；3、其他福利：完善的五险一金及额外商业保险，依法享受法定节假日（带薪旅游、带薪年假、婚假、产假、等国家法定有薪假期国家法定节假日）；节日福利多多，团队活动丰富。。。公司地址：广州天河区中山大道西89号国家软件园华景园区B栋西梯五楼整层【交通线路指引】：地 铁：岗顶D出口转brt华景新城站公交站：BRT华景新城站(到华景新城BRT出站——右手边是南方通信大厦——往前走即是天河软件园)温馨提示：本岗位为公司直招，投递简历后， 24小时内会有专职HR给予回复，让你了解更多职位信息！,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,校招岗位-人工智能及大数据研发工程师,人工智能,15000.0,广州多益网络股份有限公司,广州,0.0,本科,更多岗位详情请浏览多益网络校招官网 xz.duoyi.com（官网是唯一投递渠道）岗位职责：研发大数据分析处理平台，研究数据挖掘算法技术及应用、人工智能领域相关算法等，开发自然语言处理、图像识别等方向的相关应用，面向游戏及其他领域产品提供大数据解决方案。岗位要求：2020届毕业生，数学或计算机相关专业；计算机基础知识扎实，精通算法设计/数据结构，熟悉JAVA或C/C++语言编程；熟悉机器学习常用算法，熟悉Linux/Unix平台上的开发环境；在以下某一领域有一定经验：数据挖掘、自然语言处理、图像识别、语音识别；优秀的学习能力，善于探索钻研。更多校招详情请浏览多益网络校招官网 xz.duoyi.com（官网是唯一投递渠道）,0.0,1.0,0.0,1.0,1.0,0.0,0.0
92,人工智能与机器学习工程师,人工智能,27500.0,上海莘越软件科技有限公司,上海,0.0,无,能将机器学习应用于大规模高并发领域，同时提供基础平台化服务。 2.基于海量数据，应用先进的统计建模、数据挖掘、机器学习、运筹优化等方法建立机器学习模 型，并持续优化核心算法和代码实现； 3.开拓前沿的挖掘分析与建模技术并结合公司业务应用场景，解决业务需求和问题； 4.对接研发团队和各业务部门，提供数据驱动方面的专业咨询方案； 5.提升团队数据算法水平，保障团队算法能力业界先进性。 岗位要求： 1.985 或海外院校毕业，硕士及以上学历，计算机科学、应用数学、统计学或相关专业； 2.3 年以上相关经验，热衷技术创新；在推荐，nlp，知识图谱等至少一项领域有丰富的实战经验 ； 3.加分项：有显著的科研或工作成果，曾发表权威性论文，主导或参与过市场影响力较高的数据 项目研发； 4.具备较强的沟通和资源整合能力； 5.有海外知名企业，或行业领先公司任职经历者优先,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,人工智能算法工程师,人工智能,27500.0,深圳中科图灵科技有限公司,深圳,2.0,硕士,岗位职责：1. 负责强化学习、深度学习人工智能数学模型研究、算法实现及优化；2. 跟踪人工智能技术和算法的前沿技术；3. 深度了解机器学习算法模型构建和算法实现及应用场景，输出可落地的应用场景解决方案。岗位要求：1. 硕士及以上学历，数学、物理、计算机等相关专业，至少两年以上开发经验；2. 精通Python、R、Java等至少一种编程语言，熟悉Linux平台和开发环境；3. 具备良好的数据结构、算法分析与设计基础；4. 熟悉至少一种常用大数据平台或核心功能组件，如：Hadoop MR-HDFS-YARN、Spark、Storm、TensorFlow等；5. 熟悉常用的机器学习算法，了解不同模型的特性，具有运用高级数学模型进行综合大数据分析的能力；6. 熟悉SQL语言，熟悉至少一种开源大数据相关数据库系统，如Hive、Spark SQL、Impala等；7. 具备理解英文技术文档和论文的能力；8. 具有强烈的责任心和钻研精神，以及团队协作精神。,1.0,0.0,1.0,1.0,1.0,1.0,1.0
94,AI人工智能工程师,人工智能,12500.0,胜诺然（杭州）智能科技有限公司,杭州,5.0,本科,"岗位描述：1、开发大规模机器学习算法，结合实际场景，拿到业务落地效果；2、提升数据应用能力，提出新的算法解决业务难题并沉淀出新的算法；3、负责团队的人员发展，激励和培养，引领产品技术路线，并带领团队快速、高效推动产品设计、研发、测试、发布的全过程。岗位要求：1.计算机、电子信息工程、自动化控制、数学、信息安全等相关专业背景，硕士及以上学历；2.在以下至少一个领域有深入研究，及三年以上的工作项目经历：Ⅰ.大规模机器学习（基于统计数据/图像/文本等各类数据的机器学习和系统实现）；II.搜索/推荐引擎/深度学习/图挖掘等各类算法。3.熟悉一个或多个常见的NLP/ML/DL开源工具库，如Caffe、Tensorflow等，能够快速实现新的想法；4.熟悉人工智能领域前沿技术，对未来三到五年该领域的方向有清晰的认识和把握；5.有较强的学习创新和逻辑思维能力，责任心强,对技术有强烈的进取心，具有良好的沟通能力和团队合作精神。",0.0,0.0,1.0,0.0,0.0,0.0,0.0
95,人工智能/医学图像算法（ECG心电图方向）,人工智能,30000.0,杭州脉流科技有限公司,杭州,2.0,硕士,工作内容：（人工智能ECG心电图方向）1、负责医学图像识别、医学图像分割的算法研究与技术产品开发；2、基于深度学习算法（完全卷积神经网络）的研究及其在图像识别领域的应用；3、负责项目实施技术难点的算法原型设计与实现。任职要求：1、生物医学/计算机/信息类等相关专业的硕士学历；海外博士优先考虑；2、掌握图像重构算法(比如基于level set或者graph cuts等算法)；有相关医学图像识别算法工作经验者优先；3、熟悉图像重构开源VTK、ITK等；4、掌握机器学习/深度学习等相关知识，有该领域算法的研究或开发经验；5、熟练掌握C/C++、Python等编程语言，有Linux开发调试经验；6、在以下领域有深入的研究为佳： a、ECG心电图； b、对CNN/RNN等主流神经网络有深入了解和应用开发经验； c、计算机视觉（如图像识别等）； d、大数据分析经验；  e、云计算；7、熟练使用opencv， 熟悉Tensorflow、Torch或caffe框架中的一种；8、具备良好的英语阅读以及交流能力和数学推导能力。,1.0,1.0,1.0,0.0,1.0,0.0,0.0
96,人工智能算法工程师,人工智能,22500.0,明峰医疗系统股份有限公司,杭州,2.0,硕士,负责医学大数据的挖掘、信号处理、人工智能（深度学习）等相关领域的研发和算法实现；2.     开发基于医学大数据的人工智能模块和产品，如低剂量成像，伪影校正，辅助诊断等；3.     帮助公司建立和完善人工智能研发平台和标准化研发流程；4.    开发和拓展基于医学影像系统的全新应用。任职者要求：1.        电子、通信、物理、数学、生医或计算机类专业背景，硕士以上学历，博士优先；2.        有扎实的数学基础和极强的英文阅读和学习能力，能快速跟踪和实现前沿工作；3.        对以下至少一个领域有深入研究或者资深的工作经验：大数据分析，深度学习（特别是各种神经网络模型），图像识别或者最优化算法；4.        熟悉Hadoop、Spark、Caffe、Tensorflow等软件，有医学影像人工智能产品开发经验者优先；5.        熟悉Python 或C/C++，有良好的编程基础；6.        学习能力强、善于沟通、对技术创新充满激情；7.        具备良好的沟通能力和团队合作精神，善于表达自己的想法，具备较强的抗压能力； 8.        有海外留学或工作经历、知名IT/医疗设备公司工作经验者优先录用。,1.0,1.0,1.0,0.0,0.0,1.0,1.0
97,物联网人工智能储备技术员,人工智能,5250.0,深圳市小强强科技有限公司,深圳,1.0,本科,						职位描述:本公司根据目前发展情况，需要进一步扩充人力资源，现特对外招聘人工智能技术工程师和储备技术员若干名，具体要求如下：大专及以上学历，专业为电子、电气、半导体、自动化、计算机或相关理工科专业，承担公司物联网软件方向产品技术研发工作；要求：－具有良好的数学基础和逻辑思维能力。－了解电子电路并有一定的设计能力。－掌握基于单片机的C语言编程，掌握汇编语言，了解嵌入式或软硬件开发技术更佳。－工作积极主动，能主动设法完成任务，有担当，有激情，热爱开发工作是最重要的要求。－有一定压力承受能力。																		,0.0,1.0,0.0,0.0,0.0,0.0,0.0
98,人工智能/深度学习算法工程师,人工智能,14583.33,长沙海格北斗信息技术有限公司,长沙,0.0,硕士,"岗位职责：1.V-SLAM算法的优化、仿真与实现；2.基于深度学习的人工智能算法的优化和实现；任职资格：1. 计算机、数学或相关专业硕士及以上学历；2.熟练掌握机器学习基本算法，熟悉Deepmind等各种深度神经网络和常用的模型，如CNN,DBN,SparseCoding，RNN等；3.对常用的开源实现，如Caffe，Tensorflow或MxNet等有实践经验；4.熟练掌握C/C++/MATLAB/PYTHON等编程语言；5.宽泛的技术视野，创造性思维，富有想象力；6.有成果可以演示者优先考虑。",1.0,1.0,1.0,0.0,0.0,0.0,0.0
99,双休+五险 AI人工智能开发,人工智能,5250.0,郑州瑞庭网络科技有限公司,郑州,0.0,大专,工作内容：2. 通过对业务的理解，对现有产品和系统进行改进和优化。3. 协助保障系统可用性、稳定性、和可扩展性。职位要求：1、专业不限，计算机、信息技术、电子等相关专业优先，接受没基础转行，有老员工带；2、热爱互联网，对互联网开发和技术有浓厚的兴趣，热衷追求技术极致与创新；3、强烈的上进心和求知欲，较强的学习能力，具备良好的团队合作精神。公司福利：1、社会保险：五险一金2、成长与职业发展：人力资源部为所有岗位建立了成长模式和职业发展通道，并以顾问形式为员工提供成长建议。3、节日贺礼：公司在传统佳节派发节日礼品以增添节日气氛。4、生日派对：员工过生日公司生日派对及贺卡以表祝福。5、公司给予员工生活关怀，公司设有茶水间，休息阳台和员工休息室，提供微波炉，冰箱等。职能类别：										信息技术专员																			UI设计师/顾问									关键字：AIps计算机专业开发,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,人工智能经理,人工智能,12500.0,周生生钻石（广东）有限公司,佛山,0.0,无,、利用深度学习技术进行前沿人工智能技术研发、并负责机器学习平台的选型，框架搭建，开发及优化； 2. 参与研讨、评估钻石加工设备仪器的设计方案，提出人工智能应用的可行性建议方案； 3. 协助新设备仪器的原理图设计、软件程序编写、硬件调试等； 4. 负责智能化系统方案的总体规划，以及系统配置方案。  任职要求： 1. 具有计算机科学、电子工程和软件工程等相关专业背景; 2. 关注人工智能基础支撑硬件或数据平台基础，包括有关机器识别与深度学习的算法和技术设计，包括通用应用和行业垂直应用等; 3. 熟悉Python编程技能，熟练使用TensorFlow或PyTorch深度学习框架，具有相应工程研发经验; 4. 有LSTM/GRU/Attention/RNN/CNN等模型结构的使用经验，在图像识别、自然语言处理、知识图谱等方面有实际工作经验者优先； 5. 创新能力、学习能力强; 6. 专业知识扎实，工作认真负责，思维灵活，细致严谨，富有团队协作精神。    备注：薪酬范围显示数据不作参考，将执行公司薪酬制度,1.0,0.0,1.0,0.0,0.0,0.0,0.0
