,职位名称,职位名称关键字,职位薪资,公司名称,地区,工作经验,学历要求,职位描述要求,Linux,Mysql,Shell,Python,Sql,Oracle,Nginx,Tomcat
78,运维技术支持人员,运维/技术支持,4500.0,盛隆电气集团有限公司,武汉,0.0,无,、岗位职责（1）技术支持，项目现场勘查，前期技术交流、电力运维相关方案报价的编制，后期技术对接等。（2）完成领导交办的其它工作任务。2、岗位要求（1）电力自动化相关专业，具有极强的文案功底；（2）工作积极、能吃苦耐劳，有较强的上进心和责任心；（3）具备团队协作精神，服从部门领导管理；（4）具备较高的纪律性、责任心、执行能力、语言表达能力、学习能力。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,技术支持运维工程师,运维/技术支持,12500.0,深圳市行知网络科技有限公司,深圳,0.0,无,职位描述：a、负责客户现场答疑/培训，对于客户现场的投诉及时跟进和反馈；b、有较强的沟通能力和表达能力，可以还原现场的场景给到二线团队，进行问题重现；c、有较强的控制能力，当现场产生问题时，可以控制住客户的情绪，并控制二线团队的处理进度；职位要求：a、计算机或通信专业毕业；b、有售后相关工作经验，可以和客户独立沟通；c、熟练掌握linux系统，熟悉Python或者shell的开发；d、技术性导向，可以快速接受新的知识，逻辑思维缜密，抗压能力强。,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
80,IT技术支持/网络运维工程师,运维/技术支持,5250.0,上海微谱化工技术服务有限公司,上海,0.0,无,公司IT故障报修和派工   根据运行流程，快速优质的解决内部客户反应的IT故障，并向IT主管汇报。2      公司通讯系统（电话、传真）的管理和维护   负责公司通讯系统的日常管理维护和升级，保证设备的正常使用。3      公司网络设备的管理   负责公司网络设备的日常管理维护和升级，保证PC终端和无线网络的正常连接。4      公司IT机房的管理   负责公司IT机房的环境和设备定期维护检查。5      完成上级交办的其他工作   协助IT专员的工作，快速优质的完成上级领导交办的其他工作。 任职要求：1、大专以上学历；2、计算机专业/非计算机专业，有知名IT机构的培训经历。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,技术支持/运维,运维/技术支持,7500.0,湖北长江云新媒体集团有限公司,武汉,0.0,无,"负责新媒体生产业务的监控,运维和值守任务，定时巡检新媒体各类网络,系统,安全类设备，认真填写值班日志，做好上报与记录工作；2.快速排查新媒体集团IPTV集成系统各类故障。任职资格：1.全日制本科及以上学历，计算机相关专业；2.具备1年以上相关工作经验，年龄35岁以内，条件优秀者适当放宽年龄限制；3.具有高度的责任心和较强的应变能力，适应值守倒班工作；3.具备广播电视行业各类生产系统经验和专业网络、系统、安全任一技能者优先考虑；4.拥护中国共产党的领导，遵守制度，服从管理。员工福利：1、完善的薪酬管理制度，缴纳五险一金，年薪8-10万（包含月度工资和年终绩效，根据目标考核情况核算发放）；2、法定国家节假日正常休息，工作满一年享受带薪年假；3、工会福利慰问：生日卡+电影票+节日慰问+结婚慰问+生育慰问等；4、一年一度员工身体健康检查上班时间：周一至周五：8：30-17:30，午间休息2小时（夏令期间午间休息2.5小时）**简历投递截止时间为2019年3月28日**",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,技术支持/运维工程师（青岛）,运维/技术支持,5500.0,南京通达海信息技术有限公司,青岛,1.0,大专,、计算机科学与技术等相关专业大专及以上学历；2、一年以上项目实施或技术支持、运维工作经验；3、专业知识扎实，学习能力强；4、熟悉SQL Server、Sybase或Oracle等主流数据库；5、具有良好的团队协作能力及端正的工作态度；6、熟悉法院行业背景知识者优先。工作职责：1、负责现场技术支持及日常维护，包括：接听客户咨询电话，向客户提供咨询、指导，解释相关业务或技术问题。2、负责登记、处理客户现场反馈的需求和问题，登记到公司的客服系统中。3、及时处理反馈系统中的问题。4、完成上级领导交办的其它工作。一经录用，公司提供有竞争力的薪酬。各项福利齐全（足额缴纳五险一金、餐补、交通补贴、节假日福利、带薪年假等等），年底13薪外加项目效益奖金，每年两次调薪机会，适合长期发展。另外在法院上班，工作环境舒适，日常作息时间同法院，欢迎各位感兴趣的应聘人员踊跃投递简历。职能类别：										技术支持/维护工程师																			售前/售后技术支持工程师									关键字：系统技术支持运,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
83,售后技术支持工程师（运维方向）,运维/技术支持,10000.0,深圳市联软科技股份有限公司,珠海,2.0,大专,工作内容：1、驻场服务：服务和运维部署在客户处的IT安全管理产品（自有产品）；2、及时发现系统问题和解决问题，执行系统升级/变更等相关驻场运维服务；3、协助客户进行安全事件处理及相关工作；4、协助或独立完成相关数据分析和文档整理工作；5、参与后端支撑工作，包括能力素质培训体系建设、效率提升等相关工作；6、其它团队分配的任务与事项处理。任职要求：1、本科学历，具有过硬技术功底，有CCNP、MCSE、RHCE等认证者优先；2、善于思考，学习能力强；3、工作耐心细致，较强的执行能力，爱岗敬业，具备高度的责任感和敬业精神；4、具有良好的文字和语言表达能力，文档撰写和整理能力者优先；5、具备一定的脚本、数据库、编程能力优先；6、能够适应短期出差，具备一定的抗压能力；7、2年以上工作经验。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,运维工程师/技术支持,运维/技术支持,9000.0,北京文创思宇科技发展有限公司,上海,1.0,大专,"运维工程师：1、计算机或相关专业；具备软件维护和技术支持能力，熟悉ORACLE数据库使用，有一般主机和网络管理维护能力；2、熟悉Windows和Linux操作系统，熟悉服务器工作流程；3、熟悉计算机工作原理，了解B/S结构程序设计，熟练掌握数据库操作；4、熟练搭建、操作各种操作系统，熟悉服务器工作流程、熟练搭建服务器环境；5、熟悉Java程序，熟悉系统集成原理；6、性格沉稳，五官端正，工作积极，学习能力强，；7、英语交流，阅读能力强；8、团队合作意识强、有拼搏精神,能承受较大的工作压力；9、有驾驶经验者优先考虑。工作地点：河北省公安厅，地点不合适者慎投。",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
85,IT技术支持/IT运维工程师（非前端开发）,运维/技术支持,5000.0,上海卡顺电子科技有限公司,上海,2.0,大专,岗位职责:1、负责公司产品售后服务工作，跟师傅学习收银电脑软硬件组装、维护 网络组建2、负责公司大客户技术支持、学习监控工程、局域网布线及调试、台机的组装与维修3、负责项目实施，对网络设备、安全设备的日常维护与管理； 4、前期培养后期单独负责收银电脑软硬件的安装及调试、打印机维修任职要求：1、大专及以上学历，年龄18--35周岁；2、会收银电脑组装系统安装电脑维修网络维护等 （非前端开发，请注意）3、服从工作安排，无不良嗜好，可以从基层做起。4、具有团队合作精神，工作态度认真负责，有团队精神，能相互交流技术心得体会。5、具有从事计算机相关行业两年以上的经验，有对行业软件有经验者优先福利待遇及职业发展前景：1、年终奖金；可提供员工宿舍；包吃住；2、转正之后每年调薪一次；3、享受国家法定假期，做六休一；5、公司常年组织丰富多彩的员工娱乐活动；员工旅游，聚餐团建活动等6、员工生日祝福；节日福利注 意：我 们 不 做 开 发，想 找 开 发 工 作 的 朋 友 勿 投工作地址闵行区沪闵路7940号宁谷国际大厦810室，靠近锦江乐园,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,IT技术支持/运维工程师 沈阳(J10723),运维/技术支持,5250.0,上海瑞慈医疗投资集团有限公司-沈阳分公司,沈阳,0.0,无,工作职责:瑞慈集团始于2002年，旗下涵盖综合医院、专科医院、健康体检、养老护理、连锁诊所、医养一体健康城等等板块，彻底打通大医疗产业链，致力于提供全方位的健康管理服务。虚以待位，只等你来！岗位职责及任职要求：1.精通桌面及各硬件办公IT设备维护；2.熟悉Windows 系统的安装、部署；3.有良好的业务沟通能力4.熟悉Sqlserver数据库的安装、监控、优化、备份；5.了解思科，锐捷等网络交换机及网关设备配置；6.大专及以上学历，计算机及相关专业；任职资格:任职资格：1. 大专学历及以上，计算机或相关专业2. 1年相关工作经验优先3. 身体健康，具备良好的沟通能力工作时间：随医疗部工作时间薪酬福利：1、底薪+补贴+奖金等2、五险一金3、为员工提供完善的入职培训、在职培训，以及良好晋升机会；4、依法享受国家法定节假日以及婚假、产假等带薪假休假；5、定期安排丰富的员工活动、培训及团队拓展运动；6、为员工提供优质的员工福利，如带薪年假、生日福利、节假日福利、健康体检等。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,技术支持/运维工程师,运维/技术支持,7000.0,上海芮想信息科技有限公司,沈阳,2.0,本科,熟悉Linux操作系统的相关操作以及TCP/IP协议栈3、熟悉Unix/Linux操作系统与计算机网络技术；4、熟悉防火墙、路由器、交换机等网络设备；5、具备较强的问题分析能力及沟通能力；6、至少掌握一种编程语言与数据库相关知识。7、吃苦耐劳，能够适应出差，有较强的学习能力；8、具有较强的文字和语言表达能力。9、有密码学基础和电力行业经验者优先10.有嵌入式开发经验优先福利待遇1、三年劳动合同，入职公司即为员工办理五险一金；2、年终奖金；3、双休、国家法定假、年假、婚假、丧假、产假/陪产假；4、公司每年举办大型文娱活动5、人文关怀：贴心的节日礼品，定期体检职能类别：										技术支持/维护工程师									关键字：L,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,运维工程师 /技术支持（华西医院内上班）,运维/技术支持,6000.0,成都华西公用医疗信息服务有限公司,成都,0.0,本科,工作内容及职责：四川大学华西医院院内硬件、网络及相关办公软件和医疗应用软件的现场故障处理以及用户使用操作，日常值守工作；日常院内故障电话接听及处理；医疗应用软件的基础操作培训及后台数据问题处理；医院信息化项目管理，参与医院信息系统调研、测试、实施、日常维护等职责，同时应对突发系统故障的处理事务。任职要求：1、本科及以上学历；2、计算机或医学信息化相关专业者佳，有医院信息化实施经验者优先；一、前台运维工程师3、熟悉计算机软硬件基础知识及熟练安装调试技能；4、有局域网组网经验，能判断处理一般网络故障；5、具备良好的服务与沟通意识，能值夜班以及节假日、周末值班；二、项目管理/调度中心3、具有良好的沟通能力，团队协作能力，清晰的项目管理思路；4、较强的文字编撰能力，能够熟练使用Project、Visio等办公软件及相关项目管理工具；,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,技术支持工程师（运维方向）,运维/技术支持,7500.0,成都安舟信息技术有限公司,成都,1.0,本科,工作职责   1. 用户现场设备安装、调试、系统部署及产品使用的相关培训；   2. 产品的远程支持和维护；   3. 产品涉及的数据分析及相关文档编写工作；   4. 用户的需求收集、整理、分析，针对性的制定业务实施方案；   5. 产品相关的其它服务。岗位要求   1. 全日制统招本科以上学历，计算机、信息安全、软件等相关专业；   2. 一年以上相关工作经验；   3. 扎实的网络基础知识，熟悉主流服务器及网络设备的安装及配置；   4. 熟悉运维相关知识与工具；   5. 有信息安全产品相关工作经验；   6. 了解数据库相关基础知识；   7. 常见的网络工具使用，如wireshark；   8. 能够适应出差；   9. 较强的学习沟通能力及团队协作能力。   10. 熟悉自动化运维优先。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,运维工程师（技术支持）,运维/技术支持,5500.0,维书信息科技（上海）有限公司,武汉,1.0,本科,、负责应用系统日常代码维护、bug修改；3、按要求完成系统的日常运维和开发工作；4、负责对系统数据的监控、更新.职位要求：1、计算机软件或相关专业大专以上学历；2、具有良好的沟通和学习能力，工作积极主动，吃苦耐劳，认真负责；3、熟悉Web开发、API开发、数据库使用、Spring框架的使用，可以提供技术支持的运维；4、熟悉MySQL数据库，能熟练地运用SQL语言，熟悉SQL语句调优和数据库调优；5、具备一定的英文读写能力，懂相关仓储管理，供应链者优先。职能类别：										系统工程师																			技术支持/维护工程师									关键字：运维JAVA系统测试技术支持,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
91,运维技术支持（网吧）,运维/技术支持,5000.0,郑州志趣商业运营管理有限公司,郑州,2.0,高中,【介绍】此岗位负责公司总部及旗下所管理的网吧相关的两部分工作本岗位会有大神带你，但细心和积极带不了。【你需要具备什么？】·负责网吧/电竞馆内网络及其设备的维护、管理、故障排除等日常工作，确保网吧网络的正常运作；·安装和维护门店计算机、服务器系统软件和应用软件，同时为门店提供软硬件技术支持；·解决排除各种软硬件故障，做好记录，定期制作系统运行报告；·负责公司总部办公相关软、硬件的平台搭建和维护；·负责公司局域网、广域网的管理与维护，保证其正常运行，确保局域网、广域网在工作期间内安全稳定运行；·维护数据中心，对系统数据进行备份。【你需要具备什么？】·计算机相关专业，大专及以上学历，至少1年以上网络系统与IT系统维护经验；·熟悉和掌握各种计算机软硬件，可独立进行安装、调试及故障排除；·精通局域网的维护及网络安全知识，可熟练进行局域网搭建和网络设备的基本维护和故障处理；·熟练运用Server2012 、Server2016等对服务器进行维护与管理；·工作积极主动，有责任心，诚实守信，具备团队合作精神。【福利】本岗位薪资4000，具有完善的培训体系，晋升快，免费提供住宿。志趣为小伙伴们提供行业内***的福利待遇和优越的工作环境。在志趣，知识技能遍地捡，晋升公开透明。在志趣，团队关系简单融洽，吃不到勾心豆角。在志趣，大牛你不用担心蜗居小城技能报废，我们让你品尝技能Max的美妙ZhiQu是一支有理想、有能力的人组成的团队，好简历赶紧砸过来吧^_^１７６　３８１６　８１７２（同微） 面试地点在金水区文化路硅谷广场B座24楼2402室，面试时间：周一至周五9点-12点   14点-18点,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,云计算运维及技术支持岗位,运维/技术支持,22500.0,融联易云金融信息服务（北京）有限公司,北京,3.0,本科,"工作职责：负责运维公司内外部云计算资源（计算、存储、网络、安全等）,包括配置管理、日常监控、变更、备份恢复、高可用设计等。负责公司自动化运维平台建设。3.负责公司云运维体系建设。4.负责提供客户远程咨询、技术支持等服务。岗位要求：熟悉主流公有云平台架构及技术特性；熟悉KVM/Xen/VMware等虚拟化技术、SDN虚拟网络、分布式云存储、传统SAN存储等相关技术；熟悉系统、网络、存储、数据库、安全等基本原理；能使用shell/python/php/ruby/perl其中至少一种语言进行运维开发工作；工作执行力强，具有良好地快速学习能力、理解能力与解决问题能力。",0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
93,驻场运维工程师（微软产品技术支持）,运维/技术支持,15000.0,北京瑞和世纪科技有限公司,北京,0.0,无,岗位职责：1、熟悉Windows Server 2003、2008、2012，以及Windows系统自带的功能及角色，对系统故障（无响应、无法开机、蓝屏等）进行诊断分析及处理2、 熟悉AD、Hyper-V、WSUS、DHCP、DNS、FTP、负载均衡；3、 熟悉Windows 活动目录，Win7客户端，故障转移群集；4、熟练掌握SQL server，并能独立解决数据库问题5、 熟悉双机操作模式并熟练应用；6、了解脚本、了解TCP/IP协议。任职要求：1、具有良好的协同工作能力及沟通技巧。2、能够完成交付的工作。3、良好的学习能力4、高度的责任心。5、具有微软资格认证证书者优先考虑可关注“北京瑞和世纪科技有限公司”官方微信公众号了解更多详情,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
94,双休运维/技术支持工,运维/技术支持,5250.0,广州点睛网络科技有限公司,广州,2.0,大专,岗位职责：1、负责为客户提供软件的安装、调试，技术问题的解答、培训、产品运行等；2、负责客户的需求整理、需求文档的提交、售前售后技术服务过程的信息记录；3、负责日常系统维护、监控、软硬件方面的服务、支持，保证系统的稳定运行，保证服务应用7X24稳定运行；4、编写、修订和审核技术支持相关文档和作业指导书；5、配合客户完成其它相关工作。任职资格：1、大专以上学历，计算机或相关专业，3年以上相关工作经验；2、熟悉Windows系统安装和维护，熟悉域操作；以及 Windows平台下的各种应用系统的使用；3、熟悉各类网络协议和服务，比如：TCP/IP协议、各类路由协议、WEB服务、DNS服务、DHCP服务、HTTP服务等；4、熟悉相关网络安全产品，如防火墙、IDS、防病毒，漏洞评估工具等；5、良好的沟通能力和合作精神、工作主动性强、耐心细致、责任心强，具有吃苦耐劳以及学习精神。工作时间：朝九晚六 双休上班地点：（龙洞）天河区广汕一路715号其他福利：1、签定劳动合同、购买五险（享受养老、医疗、失业、工伤、生育五险）社会福利保障2、丰富多彩的员工活动：员工聚餐、节日晚会、旅游活动、趣味运动会；3、工作时间稳定，上班轻松，无需外出、无需加班4、公司每月定期评选优秀员工、进步员工，获选的同事均可获得现金奖励；5、年假：入职时间满一年，可享受5天带薪年假；每月享受一日带薪病假；6、良好的晋升平台，定期给员工做晋升考核往更高的职业方向发展。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,技术支持/软件运维工程师,运维/技术支持,7000.0,上海佳克计算机软件股份有限公司,上海,0.0,大专,工作职责：1、负责软件产品的实施、培训；2、负责为客户提供线上技术支持服务，包括电话咨询、在线支持和远程协助；2、负责定期将客户提出的意见和建议分类整理，并及时提交给到上级领导。3、完成上级领导交办的其他工作任务。任职要求：1、大专以上学历，计算机或相关专业应届毕业生；2、具备一定的计算机软件及网络知识基础；3、良好的沟通能力；4、具有服务意识；5、具有工作热情、执行力、团队合作精神。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,IT技术支持/IT运维工程师,运维/技术支持,8000.0,启迪设计集团股份有限公司,苏州,1.0,本科,岗位要求：1、本科及以上学历，计算机应用相关专业，3年以上相关工作经验，良好的英语水平； 2、熟悉华为或H3C三层网络交换及路由、VMware vSphere、Windows Server等，从事过数据中心运维工作，有行业信息化实施工作经验者优先； 3、具有较强逻辑思维能力，解决能力和较强的问题总结能力； 4、具有吃苦耐劳精神，工作积极热情，责任感强，良好的团队合作精神及沟通表达能力。 工作职责：1、负责公司数据中心基础架构运维； 2、负责运维桌面运维日常管理、监督及业务支持；3、负责相关操作文档的编制，辅助、培训最终用户正确安装、使用计算机及应用软件；4、负责公司弱电系统、视频会议系统运维与技术支持； 5、负责对相关基础架构设备功能进行测试，并提交测试报告； 6、参与建立和维护企业网络安全与数据安全体系，利用IT系统推进流程优化、为各类关键业务系统提供服务支持。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,技术支持与运维岗,运维/技术支持,8750.0,五矿经易期货有限公司,上海,2.0,本科,"、负责做市商系统的运行维护、监控及技术文档编写等工作；2、管理协调做市商系统软件开发商，及时有效解决日常遇到的问题；3、对交易和风控岗提供技术支持和辅助；4、做市团队日常桌面运维和网络管理；5、出现系统故障时进行有效的应急处置工作。任职要求：1、大学本科及以上学历，计算机等相关专业；2、熟悉Windows和Linux操作系统,具备Shell脚本编程能力；3、熟悉计算机网络，能调试和管理简单网络，有网络相关资质者优先；4、具备良好的人际沟通能力、服务精神和团队意识；5、有2年以上工作经验，在期货、证券、基金等金融行业有相关从业经历者优先录用。",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
98,ERP应用顾问/QAD技术支持/ERP运维/实施顾问,运维/技术支持,10500.0,上海快维勤科企业管理咨询有限公司,上海,0.0,大专,QAD MFG/PRO项目实施QAD MFG/PRO产品培训QAD MFG/PRO现场支持具有较强的学习能力具有良好的沟通能力具有较强的服务意识 具有团队合作精神英文读写流利有ERP或QAD使用经验者优先。职能类别：										ERP实施顾问									关键字：Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,运维二线技术支持工程师,运维/技术支持,20000.0,恒大智慧科技有限公司,深圳,3.0,本科,"岗位职责：1、 应用系统、网络状况的监控和维护；2、 对所负责的系统进行日常运维工作；3、 接受其他部门的故障上报,与相关部门沟通协作,并及时处理故障；4、 对当班监控、维护工作进行事件录入；5、 进行网络故障和系统故障的判断、分析；6、 协助应用升级,网络升级,项目上线和服务器变动等工作。任职要求：1、计算机相关专业全日制统招本科或以上学历，3年以上工作经验，有大型网站运维经验优先 。2、非常熟悉ZABBIX/NAGIOS/CACTI等监控软件的使用与配置；3、熟悉Linux/unix和Windows系统，具有一定维护、管理的经验；熟悉TCP/IP协议，以及基本网络设备的配置和管理；4、具备WINDOWS/LINUX平台相关命令行技能(如清日志,重启服务等)，SQLServer或MYSQL数据库的熟练维护；5、具备扎实的网络理论知识，会判断处理常规的网络与硬件故障；6、具有较强的自主学习能力，具有高度责任心，较高的职业化态度；具备自我驱动力,沟通协调能力；具备一定的技术文档撰写能力；7、要求能适应三班倒工作时间。",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
100,技术支持/维护/运维（有无经验均可）,运维/技术支持,5750.0,苏州普林信息科技有限公司,苏州,0.0,中专,"运维，IT支持，数据分析，机房运维，系统运维，网络维护，男女不限岗位职责1、负责公司客户网络、通讯系统现场服务,新客户网络、通讯系统安装、调试；2、负责无线通信网络工程的勘测、设计、工程督导、维护；3、负责无线通信网络规划、网络优化调整；4、负责通信设备软件调测、设备开通及维护；5、负责和客户沟通技术方面的问题，解决客户疑问。任职资格1、大专及以上学历，通信类、电子类、计算机类相关专业；2、有通信行业，无线通信工作经验,3、熟悉主流通信设备,熟悉网络规划优化业务，具备较强的计算机应用能力；4、自学能力较强，有责任心，有良好的的表达沟通能力，积极进取职能类别：										技术支持/维护经理									关键字：系统维护",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,运维技术支持+,运维/技术支持,3750.0,北京优知铂彩科技发展有限公司,北京,1.0,中专,北京优知铂彩科技发展有限公司（简称优知铂彩）是一家专业的环保科学仪器、运营维护以及系统集成销售公司，拥有专业的销售队伍，经验丰富的售后服务团队。我们需要的是:1，.能熟练掌握污水监测或烟气监测设备运营维护的技术人员，能熟练操作计算机。懂烟气设备维护者优先。2，勤奋踏实，良好的服务意识与团队合作精神，沟通能力较强；有责任心。3，具备较强的学习能力，可快速掌握专业知识，及时开展工作。4、负责公司产品的现场调试、维修服务和培训工作 。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,IT技术支持与运维,运维/技术支持,5250.0,广州南航中免免税品有限公司,广州,1.0,大专,招聘岗位：IT技术支持与运维用工单位：广州南航中免免税品有限公司工作地点：广州白云国际机场（花都）（一）工作内容：1、负责公司信息化管理系统、POS机系统等的日常运维与技术支持，保障系统运行正常与安全；2、负责公司IT硬件设备的日常维护与保障（视频监控系统、视频会议系统、办公电脑与网络等），保障设备正常运营；3、协助推进公司信息化建设，负责需求整理和收集，系统功能测试，上线前的培训以及上线后的系统维护工作，优化和提升信息化系统建设水平；4、对公司电商平台的运营提供技术性的支持和保障，并确保网络安全；5、解决排除各种软硬件故障，做好记录，定期制作IT系统运行台账管理报告；6、配合部门业务相关工作，完成公司领导交办的其他工作（二）任职资格：1、学历：计算机或相关专业，大学专科或以上　2、经验：1年或以上相关工作经验3、专业技能：（1）熟知计算机和网络专业知识，有信息系统、服务器、办公设备等软硬件的维护与实施工作经验，能够独立解决日常信息系统、设备的软硬件故障；（2）对MySql或SQLServer数据库的安装和配置有一定了解（3）了解Java技术，针对系统问题的有一定的技术分析能力（4）有高度的工作热情和激情，良好的沟通能力和团队协作能力。,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
103,IT桌面运维技术支持工程师（实习生）,运维/技术支持,3750.0,上海泛翔网络科技有限公司,上海,0.0,大专,工作平台：常驻大型外企客户现场，提供优秀的IT工作环境及具有竞争力的流程规范常驻知名外企/世界500强外企 有转正机会工作地点：上海市浦东新区职位描述：1、为企业内部用户完成关于操作系统、应用软件、邮件客户端、打印系统、网络、办公设备等方面的安装、管理、维护；2、解决排除各种硬件故障，定期升级系统，保证系统顺利运行；3、桌面设备（台式机、笔记本、打印机）安装、调试、配置及维护职位要求：1、计算机相关专科或以上学历；2、具备英语听说读写能力，英语六级或者口语优秀者优先考虑；3、如有相关IT支持实习背景优先考虑；4、熟悉桌面操作系统、标准办公软件、防病毒软件现场维护；；5、有网络安全、电脑病毒等维护经验以及在Windows平台下的各种应用系统的使用、管理和维护经验；6、具备良好的沟通能力和团队合作精神，学习力强，工作积极主动，耐心细致，责任心强，具有吃苦耐劳的精神；公司福利：1、多元化的员工培训（技能培训、拓展培训、英语培训、储备干部培训等）；2、健全的员工关怀机制（年度体检、正规社保、年度旅游等）；3、自主性的团队建设活动。一旦录用，签订正规劳动合同并缴纳社保，并提供相关技能培训及良好发展空间。 泛翔期待您的加入！,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,运维OR技术支持经理,运维/技术支持,16500.0,招商局物业管理有限公司东莞分公司,宁德,1.0,本科,						岗位职责：1、管理生产园区现场工程设施工作，包括供配电系统，给排水，消防系统，气体设施，数据机房等设施维修及保养；2、前瞻性地指导各专业工程师开展系统风险识别工作、制定完善的解决方案，及时消除各类可能导致业务中断以及影响效率或者人员设备安全事件的隐患；3、指导各专业工程师以及运行维修团队制订预防性维护保养计划，并督促执行；4、善于进行内外部沟通，调动一切力量，为团队争取工作资源，解决工作方面的困难；5、注重团队建设以及团队协作，团队内部团结，凝聚力强，有大局观，对外积极主动提供协助；6、有较强的成本管理意识，有较强的EHS规范意识；7、遵从工作流程流程制度，确保现场人员的操作、服务流程符合客户方要求，客户方流程制度未覆盖的部分，需要主动补充完善管理体系、流程和规范 ；8、管理设施维修维护、改造等相关费用，包括采购、预算，开销等；9、项目技术相关KPI管理。任职要求：1、全日制本科及以上学历，机电、电气及其自动化相关专业；2、熟悉大型工厂中央空调及给排水系统、空气压缩系统的、供配电系统、弱电系统、消防系统工作原理及运营管理；3、十年以上相关工作经验，其中五年以上物业或设施运行经理从业经验；具备建立及完善动力设备设施运行维护工作流程、机制的能力；4、熟悉大型工厂能源动力设备设施运行维护工作流程，最大管理项目（非住宅类）应不低于10万平方米3年以上。5、有大型物业工程管理、接管、验收的经验，有较为丰富的大中型供应商管理经验；6、熟练使用Office等办公软件；7、爱岗敬业心态开放，善于沟通协调，有强的组织管理能力；上班地点：宁德蕉城区漳湾镇时代新能源科技有限公司工业园区交通指南：从宁德高铁站乘坐28路，约20分钟的车程，到终点站（新能源六号门）下车即可；从宁德市区乘坐22路，到（新能源六号门）下车即可；联系方式：吴小姐/13950587830																		,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,运维技术支持,运维/技术支持,3750.0,北京思路创新科技有限公司,泸州,0.0,无,运维，机房运维岗位职责：1. 负责系统监控与安全保障、系统升级、性能优化2. 负责系统设备的日常检查和故障诊断和恢复3. 做好客户应用培训工作，为客户提供全面的技术指导4. 为客户提供售后技术服务5. 跟踪、处理技术和产品质量方面的申诉6. 配合项目团队进行部分简单功能开发工作7. 系统维护任职要求：1. 计算机相关专业，大专及以上学历2. 具有良好的沟通协调能力3. 掌握一般网络技术、安全技术和流行安全产品的应用，能够熟练操作和基本配置路由器、交换机、VPN、防火墙等网络安全设备4. 熟练掌握电脑，服务器软硬件知识和故障诊断处理能力5. 能进行Windows Server、 Linux等服务器操作系统的安装和简单调试工作，能进行简单数据库（SQL Server、Oracle）安装与维护工作职能类别：										技术支持/维护工程师									,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
