,职位名称,职位名称关键字,职位薪资,公司名称,地区,工作经验,学历要求,职位描述要求,Web,Css,Html,Javascript,Js,Jquery
238,前端开发工程师,前端开发,10000.0,湖南交通物流信息服务有限公司,长沙,3.0,本科,"岗位职责：1.设计、编写可复用的用户界面组件、前端通用组件；2.与服务端开发人员进行应用及系统整合；3.关注移动前端技术的发展，掌握最新动态和主流技术，并能够运用到工作中；4.熟悉H5或混合APP开发，并能够独立完成； 5.持续改善公司产品的用户体验。岗位要求：1、本科及以上计算机科学与技术、计算机应用、电子信息工程等专业；2、3年以上前端开发经验，对混合APP开发有过了解；3、有微信小程序开发经验或自己编写封装过前端框架作品。4、精通Html5/Css/Javascript进行良好交互体验的前端页面架构设计，熟练使用Less，Sass等CSS开发工具；5、熟练使用Jquery，AngularJS，Vue.js,Bootstrap , EasyUI其中之一主流的前端框架；6、对前端技术在互联网安全防范措施中有一定的了解；7、了解java，PHP，.net，python, go等其中之一的服务端语言的前后端技术集成对接方式。",0.0,1.0,1.0,1.0,1.0,1.0
239,Web前端开发工程师,前端开发,10000.0,广州玖晔网络科技有限公司,广州,2.0,本科,、负责公司软件前端的架构及开发工作；2、负责制定前端代码规范、代码重构和代码审查等；3、配合后台开发人员实现产品界面和功能；4、后期运维和系统版本的不断迭代升级；5、配合部门其他工作，与产品、开发和运营保持良好沟通。任职要求：1、计算机相关专业，大专及以上学历，2、精通 DIV CSS/CSS3布局，熟悉html5；3、精通javascrip、ajax、vue、jQuery等前端技术，掌握面向对象编程思想；4、至少熟练使用一种javascrip/CSS框架，如bootstrap、AngularJS等；5、责任心强，良好的沟通与表达能力；6、有技术团队管理经验以及与客户制定技术方案经验。,0.0,1.0,1.0,0.0,0.0,1.0
240,前端开发工程师,前端开发,7500.0,广州四两科技有限公司,广州,2.0,大专,参与网站需求分析、流程设计，研讨技术实现方案；2.用响应式设计开发手机、平板电脑等多平台上的Web前端应用；3.负责产品的持续迭代、优化工作。4.负责公司相关项目的前端开发工作（如网页，手机小程序，html5和微信相关页面）；5.与产品，视觉设计师，后端工程师紧密合作，实现产品功能，保证用户体验；任职要求1、熟悉JavaScript，HTML5、CSS3，了解至少一种CSS框架，精通页面布局、样式调整；2、深刻理解Web标准，对可用性、可访问性等相关知识有实际的了解和实践经验；3、深入理解DOM，JQuery，Bootstrap，AJAX，有基于AJAX的RIA应用开发经验，熟练使用时下流行的前端框架之一（VUE.js/Angular/React），了解这些框架的基本原理；4、熟悉大规模Web应用开发，有一定的性能优化和系统安全的实践；5、前后端交互的架构设计与开发，配合程序员进行前后端的数据接口工作，代码优化和效率保证；6、具有较强的学习能力，工作主动，具有团队精神，能够长期稳定工作，承受工作压力；7、对Web技术发展有强烈兴趣，有良好的学习能力和强烈的进取心。,1.0,1.0,1.0,1.0,1.0,1.0
241,前端开发工程师,前端开发,12500.0,艾信智慧医疗科技发展（苏州）有限公司,苏州,0.0,本科,"主要负责公司产品软件系统开发，同时兼顾中型物流项目实施，包括：1、部分前端开发和UI设计；2、医院医废在线管理系统开发。3、立体货柜管理系统开发；4、智慧机器人仓储物流系统开发；任职要求：1、计算机、电子等相关专业，本科及以上学历，3年及以上开发经验。2、精通SQLSERVER，MYSQL，ORACLE，精通.Net，C#语言编程。4、有Http，WebService，WCF，WebAPI接口开发技术中一种或多种。5、有MVC开发经验,熟悉HTML，CSS，JavaScript，Bootstrap，jquery，ajax，easyui。6、有Echarts或其他仪表图形开发经验。7、有前台开发经验和UI设计能力，8、懂Android开发优先。9、工作认真负责，具有良好的沟通能力、积极的工作态度，有较强的团队合作意识。",0.0,1.0,1.0,1.0,0.0,1.0
242,Web前端开发工程师,前端开发,12500.0,上海久誉软件系统有限公司,上海,3.0,本科,"岗位职责：1、与产品、设计及后端开发人员配合，高质量完成前端开发工作；2、负责将界面的高保真设计稿转化成WEB页面（切图）；3、根据需求完成响应式PC端和移动端WEB前端开发；4、解决Web前端页面的性能问题以及浏览器兼容性等问题；5、维护、优化现有的Web前端应用，改善用户体验；6、参与Web前端开发规范的制定及开发流程的优化。任职要求：1、精通Javascript/html5/css3，精通前端页面HTML架构设计与样式布局；2、基于UI设计完成前端界面的开发，有较高的设计还原率，能解决不同平台不同浏览器的适配问题；3、了解IOS,Android移动平台Web开发技术标准；4、.具有html5 App应用开发经验；5、熟悉jQuery,MUI,knockout,AngularJS,react等主流框架或者js库；                                                    6、抗压能力强，具有强烈的责任心、团队合作意识、及良好的沟通能力。",1.0,1.0,1.0,1.0,1.0,1.0
243,前端开发工程师,前端开发,10500.0,广州和方信息科技有限公司,广州,1.0,大专,岗位职责：负责产品的页面制作及维护，根据设计图完成前端应用的编码；与美工和后台程序配合，高效率高质量地完成页面的实现工作；根据产品设计，利用HTML5和CSS3等相关技术开发网站、手机等多平台上的前端应用；负责产品的持续迭代工作；通过各种前端技术手段，提高用户体验并满足性能要求。任职要求： 熟练掌握HTML(5)、CSS(3)、JS等前端技术，一年以上工作经验；精通常用前端框架，如JQuery、Bootstrap、vueJS、RequireJS、AngularJS等；熟悉手机Web App开发；熟知各浏览器的兼容性问题；有强烈的责任心和团队精神，善于合作、沟通，愿意致力于新技术的探索和研究。,1.0,1.0,1.0,0.0,1.0,1.0
244,前端开发工程师,前端开发,17500.0,上海谱唯网络科技有限公司,上海,3.0,本科,"任职要求：3年以上开发经验, VUE 一年以上实施经验精通XHTML/XML、CSS，熟悉页面架构和布局，对表现与数据分离、Web语义化等有深刻理解，对HTML5/CSS3等技术有一定了解，熟练使用less或sass进行前端开发；精通JavaScript、Ajax、DOM等前端技术，掌握面向对象编程思想对css/JavaScript性能优化、解决多浏览器兼容性问题有一定的经验；对用户体验、交互操作流程、及用户需求有深入理解；有强烈的上进心和求知欲，善于学习和运用新知识，善于沟通和逻辑表达，有强烈的团队意识和执行力；有过h5小游戏开发方面的经验；有金融交易行业从业经验优先；",1.0,1.0,1.0,1.0,0.0,0.0
245,web前端开发工程师+双休,前端开发,5250.0,厦门智汇祥盈科技有限公司,厦门,0.0,大专,、负责PC端及App端的前端开发工作；2、与产品设计、开发人员紧密配合，准时、高质量地完成模块功能；3、分析项目需求，能给出良好的解决方案，并能积极主动协助其他相关人员完开发及调试工作。岗位要求：1.大专及以上学历，熟悉前端开发；2.有相关工作经验者优先；3.计算机、网络工程、电子信息、软件工程、电气自动化、测控、机电等专业优先；,0.0,0.0,0.0,0.0,0.0,0.0
246,急聘web前端开发助理工程师,前端开发,5000.0,厦门谦迅达网络科技有限公司,厦门,0.0,大专,岗位要求：1、计算机相关专业大专或以上学历；2、熟悉WEB安全、前端性能优化及兼容性处理；3、有前端开发框架或组件研发经验优先。岗位职责：1、配合工程师对Web项目的前端实现方案；2、协助前端工程师跟踪研究前端技术；3、服从前端工程师的任务安排，配合工程师完成任务指标；4、协助web工程师设计并实施全网前端优化。公司福利：五险一金 朝九晚五 法定节假日 餐补 节日福利 带薪年假 年底双薪,1.0,0.0,0.0,0.0,0.0,0.0
247,前端开发工程师,前端开发,7000.0,深拓集团,长沙,3.0,大专,工作职责：1、参与公司项目或产品的前期需求讨论和分析，进行用户交互体验的设计与实现2、负责PC端或移动端架构设计、持续代码优化，保证良好的前端性能并能有效地解决浏览器兼容问题3、参与对公司产品用户界面的改进和创新4、负责与UI设计、后端开发人员协作，对界面样式和交互效果进行分析和调试5、对前端新技术进行调研和学习，掌握业内主流技术，保持公司前端开发技术的先进性。 岗位要求：1、3年以上前端开发工作经验，有移动前端（App、微信等）开发经验优先。2、精通HTML、DIV+CSS网页布局，并且对模板化、模块化有一定理解，熟悉html5相关，1、精通HTML和CSS，熟悉HTML5特性，了解HTML5最新规范，能够熟练运用HTML5特性实现功能；2、精通JavaScript；理解并掌握JavaScript语言核心技术DOM、BOM、Ajax、JSON等；3、熟练掌握一种以上H5框架（ReactNative、DCloud、APICloud)；5、热爱学习，关心新技术，具有深入研究的兴趣和能力；6、积极向上，有良好的人际沟通能力，良好的工作协调能力，踏实肯干的工作精神；,0.0,1.0,1.0,1.0,0.0,0.0
248,前端开发工程师,前端开发,12500.0,广州巨有文化发展有限公司,广州,3.0,本科,"岗位职责：1、充分理解产品需求，与后端工程师等共同制定项目实现方案；2、将UI设计还原为HTML、CSS，协助后端工程师维护模板；3、Javascript程序开发，实现功能及交互设计；4、遵循公司编码规范，优化前端代码，并整理出可复用的程序模块；5、紧跟技术潮流，不断引入新技术推动技术团队发展。任职资格：1、3-5年及以上前端开发工作经验，有后端开发经验更佳；2、有良好的编写代码习惯，要求结构清晰、命名规范、逻辑性强；3、扎实的CSS基础，页面还原追求完美并对页面重构有深度思考；4、扎实的Javascript基础，大量Ajax开发经验，能够迅速给出前端功能实现方案，具备迅速解决问题能力；5、熟悉移动端 Web App 开发，有HTML5应用开发经验优先，至少熟悉1种或以上的前端框架；6、熟练使用SVN、Git等任意一种版本管理工具，有Git使用经验更佳；7、思路清晰，能够与产品经理、后端工程师良好沟通；8、认真的工作态度，抗压能力好。公司福利待遇提前了解下~1.公司地理位置优越，交通便利，位于广州越秀区，毗邻地铁5号线五羊邨C出口步行5-7分钟；2.周末双休,朝九晚六.7.5小时工作制，遵循国家法定公众假期放假。宽松的工作环境，轻松的工作氛围，我们追求快乐工作，认真生活；3.五险：按国家规定为员工购买五险；4.吃喝玩乐的生日会+各种户外团建活动+不定时下午茶，让工作中随时有小确幸；5.具有竞争力的薪酬+每年调薪机会+晋升空间大。   广州巨有文化发展有限公司，是一家全域旅游智慧化系统提供商。专注于解决旅游最后一公里智慧化消费痛点，为旅游官方、旅游业主方、中小商家；提供智慧地图+公共服务、互联网+智慧旅游、智慧餐厅+会员管理等多种SAAS应用协同工具。通过技术打通全域旅游资源，获取地方旅游消费数据；同时是一家高新技术企业，通过全域旅游应用（智慧服务平台+六要素应用软件吃、住、行、游、娱、购），为政府获取游客消费行为轨迹数据、为商家提供技术扶持、为游客提供智慧化一站式服务。目前已服务客户主要为全域旅游示范单位。2017年获得高新技术企业资质认定、2017年科创板挂牌企业，股权代码：892089。企业专注提供全域旅游智慧化服务解决方案。巨有以发展“旅游+科技”，构建全域旅游目的地创新生态、创新模式、创新技术为使命，为旅游目的地实现全域资源协同化、数字化、智慧化运营服务，未来依托全域旅游商业数据，运用算法实现旅游要素智慧化一整套的解决方案。途礼游APP网页版：http://m.tuliyou.com/www/#/index/map/公司微博：有文化Cultural   020-83596256公司企业邮箱：zhaopin@",1.0,1.0,1.0,1.0,0.0,0.0
249,Web前端开发工程师,前端开发,9000.0,江苏辉海信息科技有限公司,南京,2.0,大专,						前端应聘要求：1、精通JavaScript、jQuery、ExtJS等页面效果框架2、具有html、css、javascript、jqery基础3、掌握各种修图软件4、精通一二种模板语言，并能修改																		,0.0,1.0,1.0,1.0,0.0,1.0
250,高级web前端开发工程师,前端开发,10000.0,宁波全致网络科技有限公司,宁波,5.0,大专,"熟悉前端自动化和工程化、熟悉W3C标准，对表现与数据分离，Web语义化等有一定的理解2.维护和改进前端技术平台，维护前端工具链、前端技术组合3.参与核心功能模块开发与维护4.与测试组及运维组协作实现产品上线                5.参与新技术探索、推进系统架构演化岗位要求：1.本科及以上学历，计算机及相关专业，3年以上开发经验2.精通vue、vue-router、vuex框架3.精通JavaScript(ES6/ES7),  CSS3,及任何一门预编译语言(less/sass)4.能熟练使用webpack构建工具及eslint/lodash等主流第三方库5.有独立架构ERP、互联网产品前端框架经验或能力",1.0,1.0,0.0,1.0,0.0,0.0
251,前端开发工程师 双休+五险,前端开发,11000.0,重庆市漫维文化传播有限公司,重庆,2.0,大专,"岗位职责:1、参与前端，h5开发，小程序开发；2、参与核心业务或者技术产品的全栈式开发；3、参与前端工程体系建设。4、充分分析理解项目需求，与后端工程师等友好协作完成开发任务；5、项目测试，对开发中出现的bug进行修改优化处理；6、优化前端代码，对源码/数据进行整理备份；任职资格:1、计算机相关专业，专科及以上学历，2年及以上前端开发工作经验，学习能力突出；2、熟练掌握移动端H5开发、熟悉主流移动浏览器的技术特点；3、熟练运用JavaScript语言与HTML5、CSS3等技术;熟悉移动端Web绘图相关高级特性,如canvas,webGL,CSS3动画效果等；4、熟悉模块化、前端编译和构建工具，熟练运用主流的移动端JS库和开发框架，并深入理解其设计原理，例如：jQueryMobile、Zepto、ReactJS等；5、能提供完善的WebApp和混合App（Vue方向）技术方案，了解服务端（node/java或其他语言）或native移动应用开发；有类reactnative开发经验者优先，有koa，chair等开发经验者优先。6、对技术有强烈的进取心，具有良好的沟通能力和团队合作精神、优秀的分析问题和解决问题的能力。",1.0,1.0,1.0,1.0,1.0,0.0
252,高级前端开发工程师,前端开发,17500.0,北京公瑾科技有限公司广州分公司（慧算账）,广州,5.0,本科,岗位职能：1.完成前端项目开发；2.对新人的专业培训；3.参与组件或类库的编写工作。岗位要求：1.HTML代码语义化和结构明晰，可读性强，可扩展和维护性强；2.熟悉ECMA(包括ECMA262\ECMA357等)规范；对主流的前端框架有一定的研究；3.对DOM编程性能有深入的了解；能自己封装一些常用的函数类库；4.拥有较强的表达和沟通能力，高度敬业精神，团队意识强；5.对新技术有强烈的求知欲望，乐于钻研，善于分享；6.具有良好的技术文档习惯，具有规范化、标准化的代码编写习惯。员工福利：1.五天工作制，每天工作7小时（9:00-12:00，14:00-18:00），人性化考勤制度；2.入职即购买社会保险、住房公积金，另外帮员工购买商业医疗保险；3.年假5~15天；4.餐费补贴、结婚礼金、节日礼品或礼金；5.年终奖+工资额外的季度奖金；6.每月聚餐经费+周边游+国内外旅游；7.每年一次体检，身体健康第一位；8.每周康体活动（每周五下午有游泳、羽毛球、篮球等活动任君选择）；9.简单的人际关系，十分nice的领导和同事，工作氛围好。,0.0,0.0,1.0,0.0,0.0,0.0
253,Web前端开发工程师（大数据团队）,前端开发,10000.0,湖南天云软件技术有限公司,长沙,1.0,大专,工作职责：1、根据公司业务需求及UI设计，负责移动（H5+app，小程序）或PC前端页面开发；2、开发、维护现有前端（React/Vue/Angular等），提高系统健壮性、可扩展性、灵活性等；3、督促并配合后端开发人员，高质量完成前端开发工作；4、能主动深入了解公司相关业务，对UI有较强的美感和合理的见解，有一定程度的代码洁癖。岗位要求：1、计算机相关大专以上学历；2、熟悉JavaScript、HTML5、CSS3、less/sass；2、两年以上前端开发经验或技术基础扎实的应届毕业生；3、了解熟悉webpack、babel、gulp等自动化工具，有持续集成经验者优先；3、熟悉React+umi+dva+antd者优先；4、有移动开发经验者优先（H5+app，微信小程序等）；5、熟悉Java、Node等任一种服务端语言，理解后台架构设计者优先；,0.0,1.0,1.0,1.0,0.0,0.0
254,Web前端开发工程师,前端开发,15000.0,深圳市奥肯特科技有限公司,深圳,0.0,本科,岗位职责：1. 负责产品的web界面的开发；2、有H5开发经验；3. 参与web开发项目，负责网页制作及前端交互开发；任职要求：1、具备良好的团队协作精神，具有较强的学习能力和沟通能力；2、精通HTML/XHTML、JavaScript、AJAX、JSON、XML等技术；3、熟悉对象化Javascript编程，熟悉jQuery框架，熟练使用jQuery进行页面动态交互效果编程；4、2年以上JavaScript开发工作经验；能够手写JavaScript代码；5、熟悉代码版本控制工具的使用；6、熟悉angularjs、nodejs、reactjs等优先；7、熟练使用mockplus、photoshop等界面工具者优先；,1.0,0.0,1.0,1.0,0.0,1.0
255,web前端开发工程师,前端开发,9500.0,广州市开利网络科技有限公司,广州,3.0,大专,"计算机相关专业2.主要负责微信小程序，移动/PCWeb前端工作；3.根据产品需求完成架构和模块设计、编码、测试工作;4.能按照项目计划，提交高质量的代码，完成开发任务;5.编写相关技术文档任职要求：1、计算机相关专业，大学专科以上学历;2、精通HTML5、CSS3、JavaScript，jquery等前端相关技术，熟悉小程序原生框架，熟悉W3C网页标准,有一定架构能力；3、有完整独立前端项目开发，小程序前端开发经验者优先；4、精通以下前端框架至少一种并有实际项目经验，如vue、react；5、熟练掌握前端构建工具如grunt、gulp、webpack；福利待遇：1、底薪：6k-8k+全勤奖+年底分红+旅游；2、福利：社会保险+带薪年假+各项法定节假日+定期员工活动3、公司上班时间:上午08:30-12:00 下午14:00-18:004、大小周，弹性上班时间",0.0,1.0,1.0,1.0,0.0,1.0
256,web前端开发,前端开发,10500.0,辽宁聚进科技有限公司,沈阳,3.0,大专,工作职责：1.技术人员职位，在上级的领导和监督下定期完成量化的工作要求，并能独立处理和解决所负责的任务；2.根据开发进度和任务分配，完成相应模块软件的设计、开发、编程任务；3.进行程序单元。功能的测试，查出软件存在的缺陷并保证其质量；4.进行编制项目文档和质量记录的工作；5.维护软件使之保持可用性和稳定性。任职资格：1.大专及以上学历毕业、计算机、软件工程等相关专业；2.2年及以上的前端开发经验；3.熟练掌握JavaScript、AJAX、CSS3、HTML5等前端开发技术；4.熟悉SQL Server2008、Oracle等主流数据库管理系统相关技术及工具；5.熟练掌握jQuery、easyUI、bootstrap、echarts highcharts等前端框架，会angular4者优先；6.具备团队合作精神，能承受较大的工作压力。月薪：7000-14000元/月工作地点：沈阳福利：七险一金+双休+国家法定节假日+满勤+餐补+交通补助+租房补贴（外地员工）+项目奖金公司总部：辽宁省辽阳市弓长岭区安平乡鞍山分公司：辽宁省鞍山市立山区太平街沈阳分公司：沈阳市浑南新区锦联新经济产业园西安分公司：陕西省西安市碑林区李家村万达广场简历投递：jjkjhr@jjokok.com（邮件主题注明：应聘职位+姓名）联系电话：1384,0.0,1.0,1.0,1.0,0.0,1.0
257,web前端开发工程师,前端开发,13500.0,中国囍联集团股份有限公司,重庆,3.0,大专,岗位职责1、负责前端H5页面编写及后台WEB页面的开发；2、对appH5、微信H5及小程序的开发；3、与后台工程师协作，完成数据交互与处理。任职要求1、熟悉各类Web前端开发技术，包括html(5)、css(3)、angularjs、vue.js、node.js、Ajax、jquery、等web开发领域相关技术；2、深刻理解Web标准，对用户体验、交互操作流程、及用户需求有深入理解；3、熟练APP页面布局优化及用户体验改善。公司福利：基本工资+月奖金+良好的晋升机制+五险+带薪年假+专业培训+节假日福利+国内外旅游+年终奖,1.0,1.0,1.0,0.0,1.0,1.0
258,前端开发工程师,前端开发,11500.0,江苏云坤信息科技有限公司,苏州,2.0,本科,岗位职责：1、负责产品前端部分的设计和开发，确保产品具有一流的用户体验；2、负责了解产品后端技术实现，提供对应的前端解决方案，并配合后端工程师完成数据接口的开发和调试；3、负责解决产品在不同浏览器及不同版本下的兼容问题；4、负责产品性能和代码优化的实施；5、负责产品前端方面文档建设。资格要求：1、本科及以上学历，计算机、通信、电子、数学等相关专业；2、至少2年以上HTML5、CSS3、跨浏览器开发经验；3、至少精通一种前端JS框架:jQuery、extJs、swiper等，并有实际项目经验；4、熟悉至少一种前端UI库:Bootstrap、EasyUI、JQueryUI、FlatUI等，并有实际项目经验;5、至少精通一种开发语言：Java、PHP、Node.js等，并有实际项目经验；6、至少熟悉一种前端MVVM框架：AngularJS、ReactJS、Vue.js，并有实际项目经验；7、深刻理解Web标准，有丰富的关于可用性、浏览器原理及网站性能优化等方面的知识；8、对OO、MVC等编程思想、软件工程相关概念及流程、敏捷开发概念及流程有所了解；9、熟悉linux操作系统常用命令，并能部署简单的前端项目。10、学习能力强，积极主动，且具备良好的沟通协调能力和强烈的责任心。,1.0,1.0,1.0,0.0,1.0,1.0
259,Web前端开发工程师,前端开发,12500.0,梅花网,上海,3.0,大专,"岗位描述：1、负责公司Web产品及移动端的HTML5前端页面开发2、负责前端产品的页面制作，根据UI设计图完成html5应用的编码及交互对接3、测试维护并持续优化现有产品，修复bug，提高前端的用户体验及性能4、持续的优化前端体验和页面响应速度，并保证兼容性和执行效率基本要求：1.大专及以上学历，2年以上前端开发经验,2.精通html/HTML5/css/css3/javascript/Jquery,3.熟悉原生js面向对象编程，有多浏览器/移动适配经验;4.熟练使用javascript/Jquery+WebAPI进行前端开发;5.熟练使用React（redux-saga）、Vue、Angular2其中一种框架，熟悉Less或sass其中一种预处理语言6.熟练使用构建工具主要是webpack,及打包工具gulp,grunt等7.对新技术的有积极主动学习热情,能够不断探索新的解决方案;$加分项1.熟悉Node.js的使用;2.热爱前端，对新事物、前端交互及用户体验充满好奇心，喜欢折腾最新的技术3.有后台开发经验;4.有复杂的前端应用开发经验优先;5.具备抗压能力，有良好的服务意识",1.0,1.0,1.0,1.0,1.0,1.0
260,前端开发工程师,前端开发,7500.0,广东南方网络电视传媒有限公司,广州,3.0,本科,工作职责：1、基于机顶盒或其它嵌入式平台进行终端界面的开发，实现各种主流或创新的前端特效，并负责项目的前端代码开发及相关文档的维护；2、后台管理系统的开发和维护；3、关注性能优化，代码结构优化，能编写高质量高性能的代码；4、与设计师和其他开发人员沟通合作，分享学习，优化交互、体验流程。职位要求：1、本科学历，1-3年或以上Javascript开发经验，对Javascript有深入研究，能够编写高质量高性能的代码；2、机顶盒或其它嵌入式平台开发经验优先；3、能熟练使用常用框架如vue等；4、对各种技术、特效有较强的研究和实现能力；5、精通html+css布局，熟悉H5开发；6、善于与他人沟通、合作，具有团队精神，良好的自学能力，并能承受一定的工作压力。上班时间：五天制，周末双休。发展空间：平台大，晋升方向准确。福利：五险一金及多种福利、奖金。交通：超便利！地铁四号线官洲站A出口出来即是。,0.0,1.0,1.0,1.0,0.0,0.0
261,web前端开发工程师,前端开发,15000.0,深圳市华威斯科技有限公司,深圳,3.0,大专,"岗位职责：1根据公司产品发展方向，负责/参与新产品开发；2根据产品设计，利用HTML相关技术开发手机、平板电脑等多平台上的前端应用；3编写可复用的用户界面组件；4配合服务器端开发人员进行应用及系统整合。职位要求：1、全日制大专及以上学历，计算机或者相关专业2、精通HTML/XHTML,CSS，JavaScript/Jquery等前端表现技术，有3~5年前端开发经验；3、熟悉html5，有使用html5开发经验，能快速实现各种交互特效，有html5作品优先；4、熟悉vue,vue-router,element-ui,mint-ui，熟悉微信公众号，做过PC端后台管理系统5、可以快速、简练的将网页设计图使用DIV+CSS编写成静态页面，并拥有良好的扩展性与重用性；6、掌握各种主流浏览器，能熟练运用各浏览器对网页进行调试。对W3C规范有较深入的了解；7、对用户体验有一定了解，逻辑分析能力强，较强的学习能力；8、严谨、细心，有良好的沟通能力，有团队协作项目经验，能在较大工作压力的情况下按时按质完成工作；9、有网页设计工作经验者优先。",0.0,1.0,1.0,1.0,0.0,1.0
262,前端开发工程师,前端开发,9000.0,江苏南大先腾信息产业股份有限公司,南京,3.0,本科,"、负责公司网站前端网页开发制作和维护，配合后台开发人员实现网站界面和功能；2、与设计师配合，分析并给出最优页面前端结构解决方案和效果实现；3、与后台开发工程师配合, 对页面样式和交互效果进行分析和调试；4、能发现和提出问题，发表自己的见解，并提出和实践可行性解决方案。任职要求1、 三年以上相关工作经验，能独立完成前端开发工作；2、 精通HTML5/CSS3/javascript，具有HTML5＋css3实际项目开发经验；3、 能够写出高性能、可复用的前端组件，熟练掌握闭包和继承,具有面向对象分析、设计、开发能力；4、 深刻理解数据结构，熟悉缓存机制，熟练掌握正则表达式；5、 对页面性能和浏览器兼容有丰富的实践经验，能轻松写出符合W3C标准、兼容主流浏览器的代码；6、 熟练使用Firebug等开发调试工具；7、 熟练使用常用框架如jQuery、seajs等，修改过框架代码者优先考虑。8、熟悉常用的前端MVC框架，了解Ember、angularjs、backbone.js框架有加分；9、 精通至少一种JS框架或者对JS语言掌握较深；熟悉Node.js有加分；10、了解或使用过Node.JS进行WEB开发者优先考虑；11、 有android、iphone、ipad等智能手机和平板开发经验优先考虑；12、有大型移动互联网行业相关产品实际产品开发经验者优先。",1.0,1.0,1.0,1.0,1.0,1.0
263,前端开发工程师,前端开发,11500.0,广州群应用网络科技有限公司,广州,3.0,大专,职位描述1，配合产品人员高质量地完成产品的界面与交互；2，根据产品需求实现业务逻辑拆分编写与接口对接；职位要求1，热爱互联网热爱产品，以研究各种新鲜技术为乐，有实际的开发经验，而不是仅粗浅了解。2，精通Javascript，了解底层的基础原理，熟悉VUE或uni-app 等框架，知晓背后的思想。3，精通Html5、CSS，熟悉小程序开发，有相关的开发作品。4，对ES5\6的差异和特性有深入的了解，能够独立解决问题。5，良好的沟通协调能力，富有团队合作精神。,0.0,1.0,1.0,1.0,0.0,0.0
264,Web前端开发工程师,前端开发,17500.0,广州艺诺互娱科技有限公司,广州,3.0,大专,"、 负责PC端、H5端的前端页面开发,依据产品或项目UI及需求文档，实现交互方面的需求开发；2、 根据产品或项目需求设计出兼容于目前主流浏览器的前端页面；3、 参与设计编写WEB前端的框架及应用，包含对应功能业务逻辑；4、 协同后台开发人员定义数据接口，共同完成项目；5、 及时处理线上项目存在的兼容性问题。6、 设计开发可复用的用户界面组件；跟踪最新的前端技术和标准（HTML5），持续优化前端，提高用户体验及性能。岗位要求：1、 大专以上学历，三年及以上前端开发相关经验，有过大型网站或移动终端的前端设计和研发经验者优先；2、 对界面设计，用户体验有深刻的理解，对视觉细节有高度的敏锐；3、 精通HTML5、CSS/CSS3、Javascript，运用DIV+CSS+JS准确地完成HTML界面布局开发，还原UI设计并实现所需的动画效果以及交互效果；4、 对OOP、MVC、MVVM等编程思想有了解，对前端MVVM框架有深刻理解，熟练掌握一个前端框架（Vuejs, AngularJS, React ）了解其原理；5、了解ES6，了解angularjs及相关框架和技术，有单页面应用开发经验；6、拥有良好的代码编写，熟练使用Git等版本控制工具；8、 良好的沟通能力、团队合作精神和服务意识，善于思考、积极主动、认真负责、具有高度责任感和敬业精神；",1.0,1.0,1.0,1.0,1.0,0.0
265,高级前端开发工程师,前端开发,22500.0,上海剪刀石头布家居实业有限公司,上海,3.0,大专,任职要求： 1、3年以上前端开发经验 2、精通vue.js 框架，熟悉Angular.js、React等框架； 3、精通HTML5、CSS3、Javascript，熟悉flex布局，有过丰富的开发经验； 4、有ES6webpack的实践经验； 5、熟悉组件间的通信和数据的管理，了解fluxredux； 6、对模块化，组件化，前端工程化有所认识； 7、具备较好的沟通、理解、表达、逻辑能力、学习能力和执行力； 8、熟悉NodeJs开发； 9、有github开源项目和个人博客优先。  岗位职责： 1、负责前端项目架构设计和通用组建封装，配合产品经理和设计师，参与产品的开发和业务实现； 2、基于Vue.js等前端框架完成公司前端项目，进行性能优化； 3、通过各种前端技术手段，提高用户体验并满足性能要求； 4、与后台工程师深度交流合作，一起研讨技术实现方案，并落实为具体的开发工作； 5、配合团队整体建设，协助构建优秀的团队开发环境和基础设施，指导、分享前端技术经验，帮助团队共同成长。   招聘部联系电话：,0.0,1.0,1.0,1.0,1.0,0.0
266,Web前端开发,前端开发,8000.0,上海助睿商务咨询有限公司,上海,1.0,本科,"工作职责：1、对PC、手机或微信Web前端实现整体开发；2、进行其他前端页面开发实现，并解决开发中遇到的问题；3、负责改进和优化前端代码，提升用户体验和性能；4、与后台工程师紧密配合，保障页面兼容性和执行效率。任职资格：1、计算机相关专业,本科以上学历，1年以上Web前端独立开发经验；有微信小程序开发经历者优先；2、精通HTML、CSS、Javascript等web开发技术；3、熟练使用HTML5,CSS3等新特性,对前端页面在各种浏览器的兼容有深入了解；4、熟练掌握Photoshop；5、熟悉响应式web设计，有移动端开发相关经验，能熟练调试各种常见移动端兼容性问题；6、热爱前端技术，对前端开发有兴趣；7、有良好的表达能力，具备相互协助、沟通的能力和团队合作精神。薪酬福利待遇：1. 全职员工签订劳动合同；2. 薪资：6000-10000元/月，年底发放年终奖金；3. 工作时间：9：00～17：45，周一到周五工作。工作地址：上海市普陀区铜川路68号创邑SPACE品尊 312室（地铁7号线岚皋路站直达）现因业务发展需要，期待你的加入，公司会为你提供施展才华的空间。俗话说一份耕耘，一份收获，只要你付出努力，年终你将会获得相应的回报。公司期待与你共同成长！",1.0,1.0,1.0,1.0,0.0,0.0
